SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,5702 N 39th St,Tacoma,WA,98407,570000,3,2.0,Tacoma,1282,8080,1981,2,445,,Active,November-23-2025 11:00 AM,November-23-2025 01:00 PM,https://www.redfin.com/WA/Tacoma/5702-N-39th-St-98407/home/2851048,NWMLS as Distributed by MLS Grid,2456423,N,Y,47.2839277,-122.5153643
MLS Listing,,Single Family Residential,16428 80th Ave E,Puyallup,WA,98375,574995,4,2.5,South Hill,2120,3778,2014,2,271,33,Active,November-23-2025 11:00 AM,November-23-2025 01:00 PM,https://www.redfin.com/WA/Puyallup/16428-80th-Ave-E-98375/home/28676761,NWMLS as Distributed by MLS Grid,2455772,N,Y,47.106247,-122.3226847
MLS Listing,,Condo/Co-op,218 Broadway #5,Tacoma,WA,98402,270000,1,1.0,Tacoma,690,,1988,2,391,425,Active,,,https://www.redfin.com/WA/Tacoma/218-Broadway-98402/unit-5/home/49699280,NWMLS as Distributed by MLS Grid,2456627,N,Y,47.2619195,-122.4446431
MLS Listing,,Condo/Co-op,7102 88th Avenue Ct SW,Lakewood,WA,98498,479000,3,2.0,Lakewood,1532,,1992,3,313,460,Active,November-23-2025 11:00 AM,November-23-2025 01:00 PM,https://www.redfin.com/WA/Lakewood/7102-88th-Avenue-Ct-SW-98498/home/2981329,NWMLS as Distributed by MLS Grid,2455619,N,Y,47.192696,-122.5554716
MLS Listing,,Single Family Residential,3807 S 34th St,Tacoma,WA,98409,425000,2,1.0,South Tacoma,1548,4125,1925,3,275,,Active,November-23-2025 11:00 AM,November-23-2025 01:00 PM,https://www.redfin.com/WA/Tacoma/3807-S-34th-St-98409/home/2940534,NWMLS as Distributed by MLS Grid,2455255,N,Y,47.22944,-122.4866115
MLS Listing,,Single Family Residential,869 Wheeler St S,Tacoma,WA,98444,425000,3,2.0,Tacoma,1352,6300,1940,3,314,,Active,,,https://www.redfin.com/WA/Tacoma/869-Wheeler-St-S-98444/home/2766737,NWMLS as Distributed by MLS Grid,2455199,N,Y,47.1471899,-122.4460915
MLS Listing,,Mobile/Manufactured Home,6124 91ST St E #148,Puyallup,WA,98371,319000,3,2.0,Puyallup,1716,,2001,4,186,,Active,,,https://www.redfin.com/WA/Puyallup/6124-91st-St-E-98371/unit-148/home/3024063,NWMLS as Distributed by MLS Grid,2454651,N,Y,47.1742678,-122.347623
MLS Listing,,Mobile/Manufactured Home,111 99th St S #17,Tacoma,WA,98444,132000,3,2.0,Tacoma,1188,,1988,4,111,,Active,,,https://www.redfin.com/WA/Tacoma/111-99th-St-S-98444/unit-17/home/3018814,NWMLS as Distributed by MLS Grid,2455976,N,Y,47.167409,-122.4320969
MLS Listing,,Single Family Residential,3626 E Howe St,Tacoma,WA,98404,625000,5,3.0,East Tacoma,2650,5227,2023,5,236,,Active,,,https://www.redfin.com/WA/Tacoma/3626-E-Howe-St-98404/home/23042758,NWMLS as Distributed by MLS Grid,2453780,N,Y,47.2253462,-122.4154802
MLS Listing,,Single Family Residential,4819 96th Ave W,University Place,WA,98467,777000,4,3.0,Beckonridge,2352,7462,1974,6,330,90,Active,November-23-2025 02:00 PM,November-23-2025 04:00 PM,https://www.redfin.com/WA/University-Place/4819-96th-Ave-W-98467/home/2729987,NWMLS as Distributed by MLS Grid,2454882,N,Y,47.2122395,-122.5641742
MLS Listing,,Multi-Family (2-4 Unit),22416 40th Ave E,Spanaway,WA,98387,775000,6,4.5,Spanaway,3420,19600,1982,9,227,,Active,,,https://www.redfin.com/WA/Spanaway/22416-40th-Ave-E-98387/home/2542352,NWMLS as Distributed by MLS Grid,2451815,N,Y,47.0526063,-122.3772943
MLS Listing,,Single Family Residential,1108 206th St E,Spanaway,WA,98387,473000,3,2.0,Spanaway,1474,5282,2014,9,321,45,Active,November-29-2025 11:00 AM,November-29-2025 01:00 PM,https://www.redfin.com/WA/Spanaway/1108-206th-St-E-98387/home/52274504,NWMLS as Distributed by MLS Grid,2451002,N,Y,47.0698919,-122.4151959
MLS Listing,,Single Family Residential,7207 147th Street Ct E,Puyallup,WA,98375,565000,3,2.5,South Hill,2186,12501,1984,10,258,,Active,,,https://www.redfin.com/WA/Puyallup/7207-147th-Street-Ct-E-98375/home/2800125,NWMLS as Distributed by MLS Grid,2454530,N,Y,47.1227533,-122.3325389
MLS Listing,,Single Family Residential,13426 183rd St E,Puyallup,WA,98374,699900,4,2.5,Sunrise,2534,5533,2023,16,276,67,Active,,,https://www.redfin.com/WA/Puyallup/13426-183rd-St-E-98374/home/178220343,NWMLS as Distributed by MLS Grid,2452229,N,Y,47.0911641,-122.2514449
MLS Listing,,Condo/Co-op,2515 S Cedar St #308,Tacoma,WA,98405,495000,2,2.0,Central Tacoma,1827,,1981,16,271,906,Active,,,https://www.redfin.com/WA/Tacoma/2515-S-Cedar-St-98405/unit-308/home/2720694,NWMLS as Distributed by MLS Grid,2448965,N,Y,47.236884,-122.475172
MLS Listing,,Single Family Residential,6323 119th St E,Puyallup,WA,98373,565000,3,2.5,Puyallup,1930,5585,2001,17,293,23,Active,,,https://www.redfin.com/WA/Puyallup/6323-119th-St-E-98373/home/2997246,NWMLS as Distributed by MLS Grid,2451277,N,Y,47.1483202,-122.3440217
MLS Listing,,Single Family Residential,1109 S 92nd St,Tacoma,WA,98444,450000,3,1.0,Fern Hill,1147,6000,1979,23,392,,Active,,,https://www.redfin.com/WA/Tacoma/1109-S-92nd-St-98444/home/2618863,NWMLS as Distributed by MLS Grid,2449427,N,Y,47.1740046,-122.4492389
MLS Listing,,Single Family Residential,1302 N Woodlawn St,Tacoma,WA,98406,625000,3,2.5,North Tacoma,1864,7200,1973,25,335,,Active,,,https://www.redfin.com/WA/Tacoma/1302-N-Woodlawn-St-98406/home/2990274,NWMLS as Distributed by MLS Grid,2447972,N,Y,47.2620367,-122.5153806
MLS Listing,,Single Family Residential,20115 53rd Avenue Ct E,Spanaway,WA,98387,489000,3,2.0,Spanaway,1376,12349,1986,25,355,8,Active,,,https://www.redfin.com/WA/Spanaway/20115-53rd-Avenue-Ct-E-98387/home/2748296,NWMLS as Distributed by MLS Grid,2447469,N,Y,47.0733479,-122.3582228
MLS Listing,,Single Family Residential,1109 S 77th St,Tacoma,WA,98408,589985,4,3.0,Wapato,1824,5250,1983,26,323,,Active,,,https://www.redfin.com/WA/Tacoma/1109-S-77th-St-98408/home/2943151,NWMLS as Distributed by MLS Grid,2448774,N,Y,47.1873871,-122.4492863
MLS Listing,,Single Family Residential,3858 Sawtooth Ct,Gig Harbor,WA,98332,825000,4,3.0,Gig Harbor,2377,5000,2018,30,347,93,Active,,,https://www.redfin.com/WA/Gig-Harbor/3858-Sawtooth-Ct-98332/home/112920271,NWMLS as Distributed by MLS Grid,2448524,N,Y,47.3554397,-122.5905129
MLS Listing,,Single Family Residential,909 N Huson St,Tacoma,WA,98406,624950,5,2.0,North Tacoma,2688,6750,1950,30,232,,Active,,,https://www.redfin.com/WA/Tacoma/909-N-Huson-St-98406/home/2964997,NWMLS as Distributed by MLS Grid,2448037,N,Y,47.2584167,-122.5034985
MLS Listing,,Single Family Residential,18818 111th Avenue Ct E,Puyallup,WA,98374,569500,3,2.5,Lipoma Firs,2122,4913,2013,31,268,25,Active,,,https://www.redfin.com/WA/Puyallup/18818-111th-Avenue-Ct-E-98374/home/23098678,NWMLS as Distributed by MLS Grid,2444335,N,Y,47.0858804,-122.2771121
MLS Listing,,Single Family Residential,114 Ames St NE,Orting,WA,98360,549950,3,2.5,Orting,2232,7223,2013,31,246,25,Active,,,https://www.redfin.com/WA/Orting/114-Ames-St-NE-98360/home/51588412,NWMLS as Distributed by MLS Grid,2447744,N,Y,47.1190749,-122.2277334
MLS Listing,,Single Family Residential,611 Elizabeth St,Sumner,WA,98390,664000,3,2.0,Sumner,2492,10360,1919,34,266,,Active,,,https://www.redfin.com/WA/Sumner/611-Elizabeth-St-98390/home/2824407,NWMLS as Distributed by MLS Grid,2446624,N,Y,47.2015672,-122.2477467
MLS Listing,,Single Family Residential,14219 76th Ave E,Puyallup,WA,98373,594500,3,2.5,Puyallup,1766,13027,1985,37,337,,Active,,,https://www.redfin.com/WA/Puyallup/14219-76th-Ave-E-98373/home/2799585,NWMLS as Distributed by MLS Grid,2444398,N,Y,47.1268273,-122.3283386
MLS Listing,,Condo/Co-op,1501 Tacoma Ave S #315,Tacoma,WA,98402,310000,1,1.0,Central Tacoma,805,,2006,38,385,392,Active,,,https://www.redfin.com/WA/Tacoma/1501-Tacoma-Ave-S-98402/unit-315/home/11886882,NWMLS as Distributed by MLS Grid,2443731,N,Y,47.2483206,-122.4429855
MLS Listing,,Single Family Residential,1707 128th St E,Tacoma,WA,98445,470000,3,1.0,Tacoma,1204,24750,1958,38,390,,Active,,,https://www.redfin.com/WA/Tacoma/1707-128th-St-E-98445/home/2563101,NWMLS as Distributed by MLS Grid,2444228,N,Y,47.1408711,-122.4059212
MLS Listing,,Single Family Residential,9020 178th Street Ct E,Puyallup,WA,98375,499000,3,2.5,Puyallup,1835,4685,2001,39,272,74,Active,,,https://www.redfin.com/WA/Puyallup/9020-178th-Street-Ct-E-98375/home/2997347,NWMLS as Distributed by MLS Grid,2445315,N,Y,47.0944618,-122.3087839
MLS Listing,,Condo/Co-op,1010 N J St #2,Tacoma,WA,98403,349995,2,1.0,North Tacoma,869,,1977,39,403,500,Active,,,https://www.redfin.com/WA/Tacoma/1010-N-J-St-98403/unit-2/home/3032720,NWMLS as Distributed by MLS Grid,2443670,N,Y,47.2650183,-122.4642236
MLS Listing,,Single Family Residential,4827 38th St NW,Gig Harbor,WA,98335,2100000,3,3.0,Gig Harbor,2782,103673,2016,44,755,,Active,,,https://www.redfin.com/WA/Gig-Harbor/4827-38th-St-NW-98335/home/22774725,NWMLS as Distributed by MLS Grid,2442002,N,Y,47.2927315,-122.6057943
MLS Listing,,Single Family Residential,56818 387th Avenue Ct E,Ashford,WA,98304,990000,2,2.0,Ashford,1842,45035,1987,44,537,,Active,,,https://www.redfin.com/WA/Ashford/56818-387th-Avenue-Ct-E-98304/home/2936780,NWMLS as Distributed by MLS Grid,2443481,N,Y,46.7422388,-121.9227518
MLS Listing,,Townhouse,17425 118th Avenue Ct E Unit G,Puyallup,WA,98374,415000,2,2.5,Sunrise,1681,1372,2021,45,247,255,Active,,,https://www.redfin.com/WA/Puyallup/17425-118th-Avenue-Ct-E-98374/unit-G/home/172237715,NWMLS as Distributed by MLS Grid,2443040,N,Y,47.0975838,-122.2704337
MLS Listing,,Single Family Residential,18705 134th St E,Bonney Lake,WA,98391,834950,5,3.5,Tehaleh,3542,4900,2019,45,236,88,Active,,,https://www.redfin.com/WA/Bonney-Lake/18705-134th-St-E-98391/home/125648324,NWMLS as Distributed by MLS Grid,2441505,N,Y,47.1316187,-122.1828478
MLS Listing,,Townhouse,142 Spruce St,Tacoma,WA,98466,525000,3,2.5,University Place,1660,1727,2006,45,316,135,Active,,,https://www.redfin.com/WA/Tacoma/142-Spruce-St-98466/home/3039282,NWMLS as Distributed by MLS Grid,2441157,N,Y,47.2179538,-122.5065629
MLS Listing,,Single Family Residential,812 N Steele St,Tacoma,WA,98406,710000,4,3.0,Tacoma,2329,3750,1910,45,305,,Active,,,https://www.redfin.com/WA/Tacoma/812-N-Steele-St-98406/home/2830544,NWMLS as Distributed by MLS Grid,2439202,N,Y,47.2577186,-122.4684595
MLS Listing,,Single Family Residential,11428 210th Avenue Ct E,Bonney Lake,WA,98391,750000,4,2.5,Bonney Lake,3013,15248,2003,46,249,50,Active,,,https://www.redfin.com/WA/Bonney-Lake/11428-210th-Avenue-Ct-E-98391/home/3007179,NWMLS as Distributed by MLS Grid,2441881,N,Y,47.1515118,-122.1494514
MLS Listing,,Single Family Residential,8711 202nd St E,Spanaway,WA,98387,545000,3,2.5,Thomas Springs,1812,10209,1997,52,301,58,Active,,,https://www.redfin.com/WA/Spanaway/8711-202nd-St-E-98387/home/2929749,NWMLS as Distributed by MLS Grid,2439090,N,Y,47.0735972,-122.3131628
MLS Listing,,Single Family Residential,28919 52nd Ave E,Graham,WA,98338,695900,3,2.0,Graham,2609,187308,1968,52,267,,Active,,,https://www.redfin.com/WA/Graham/28919-52nd-Ave-E-98338/home/2968429,NWMLS as Distributed by MLS Grid,2436131,N,Y,46.9932562,-122.3600422
MLS Listing,,Single Family Residential,205 187th St E,Spanaway,WA,98387,515000,3,3.0,Spanaway,1624,11500,1979,53,317,,Active,,,https://www.redfin.com/WA/Spanaway/205-187th-St-E-98387/home/2817813,NWMLS as Distributed by MLS Grid,2436942,N,Y,47.0874502,-122.4294942
MLS Listing,,Single Family Residential,20203 91st St E,Bonney Lake,WA,98391,799999,3,2.5,Bonney Lake,2301,38627,2009,53,348,58,Active,,,https://www.redfin.com/WA/Bonney-Lake/20203-91st-St-E-98391/home/2953480,NWMLS as Distributed by MLS Grid,2439373,N,Y,47.1738536,-122.1585395
MLS Listing,,Condo/Co-op,525 Broadway #404,Tacoma,WA,98402,675000,2,2.0,Tacoma,1400,,1978,53,482,639,Active,,,https://www.redfin.com/WA/Tacoma/525-Broadway-98402/unit-404/home/2728937,NWMLS as Distributed by MLS Grid,2439397,N,Y,47.2592343,-122.4416358
MLS Listing,,Single Family Residential,7523 30th St W,University Place,WA,98466,659950,3,2.5,University Place,2408,8946,1977,57,274,,Active,,,https://www.redfin.com/WA/University-Place/7523-30th-St-W-98466/home/2835532,NWMLS as Distributed by MLS Grid,2433970,N,Y,47.2328318,-122.5383706
MLS Listing,,Single Family Residential,8701 198th St E,Spanaway,WA,98387,565000,3,2.0,Thomas Springs,1622,9000,1998,58,348,58,Active,,,https://www.redfin.com/WA/Spanaway/8701-198th-St-E-98387/home/2929771,NWMLS as Distributed by MLS Grid,2434995,N,Y,47.0767415,-122.314694
MLS Listing,,Single Family Residential,5505 Oxalis Dr W,University Place,WA,98467,769900,5,2.5,Bristonwood,3229,7350,1969,58,238,20,Active,,,https://www.redfin.com/WA/University-Place/5505-Oxalis-Dr-W-98467/home/2740200,NWMLS as Distributed by MLS Grid,2436583,N,Y,47.2070178,-122.5589539
MLS Listing,,Single Family Residential,114 Weaver St NE,Orting,WA,98360,590000,4,2.5,Orting,3004,7900,2006,58,196,32,Active,,,https://www.redfin.com/WA/Orting/114-Weaver-St-NE-98360/home/12244470,NWMLS as Distributed by MLS Grid,2429098,N,Y,47.1078375,-122.2177402
MLS Listing,,Single Family Residential,17106 116th St E,Bonney Lake,WA,98391,674000,4,2.5,Creekridge Glen,2128,14199,2001,59,317,28,Active,,,https://www.redfin.com/WA/Bonney-Lake/17106-116th-St-E-98391/home/2954042,NWMLS as Distributed by MLS Grid,2437019,N,Y,47.15014,-122.2019273
MLS Listing,,Single Family Residential,20512 80th Ave E,Spanaway,WA,98387,549999,4,2.5,Spanaway,2313,6436,2017,59,238,17,Active,,,https://www.redfin.com/WA/Spanaway/20512-80th-Ave-E-98387/home/131834878,NWMLS as Distributed by MLS Grid,2437028,N,Y,47.0703474,-122.3233842
MLS Listing,,Single Family Residential,1714 S Anderson St,Tacoma,WA,98405,415000,2,2.0,Central Tacoma,854,5150,1941,59,486,,Active,,,https://www.redfin.com/WA/Tacoma/1714-S-Anderson-St-98405/home/2748914,NWMLS as Distributed by MLS Grid,2430004,N,Y,47.2442026,-122.473225
MLS Listing,,Single Family Residential,19117 87th Avenue Ct E,Puyallup,WA,98375,575000,4,2.5,Puyallup,2366,4298,2010,61,243,58,Active,,,https://www.redfin.com/WA/Puyallup/19117-87th-Avenue-Ct-E-98375/home/22781341,NWMLS as Distributed by MLS Grid,2436742,N,Y,47.0823937,-122.3141785
MLS Listing,,Single Family Residential,1307 N Cascade Ave,Tacoma,WA,98406,1080000,4,2.0,North Tacoma,2712,7800,1959,65,398,,Active,,,https://www.redfin.com/WA/Tacoma/1307-N-Cascade-Ave-98406/home/2936130,NWMLS as Distributed by MLS Grid,2429998,N,Y,47.2620841,-122.5381418
MLS Listing,,Single Family Residential,12422 20th Ave E,Tacoma,WA,98445,560000,4,2.5,Tacoma,1752,47868,1962,67,320,,Active,,,https://www.redfin.com/WA/Tacoma/12422-20th-Ave-E-98445/home/2767421,NWMLS as Distributed by MLS Grid,2425367,N,Y,47.1435689,-122.4033034
MLS Listing,,Condo/Co-op,5817 54th St W,University Place,WA,98467,535000,2,2.0,University Place,1848,,2002,72,290,615,Active,,,https://www.redfin.com/WA/University-Place/5817-54th-St-W-98467/home/3007143,NWMLS as Distributed by MLS Grid,2430559,N,Y,47.208475,-122.514535
MLS Listing,,Single Family Residential,7911 195th St E,Spanaway,WA,98387,534999,3,2.5,Frederickson,1804,6710,1999,73,297,37,Active,,,https://www.redfin.com/WA/Spanaway/7911-195th-St-E-98387/home/2932161,NWMLS as Distributed by MLS Grid,2432171,N,Y,47.0794483,-122.3240672
MLS Listing,,Single Family Residential,11116 Matthews Way,Anderson Island,WA,98303,600000,3,2.0,Lake Josephine,1974,11800,1992,76,304,86,Active,,,https://www.redfin.com/WA/Anderson-Island/11116-Matthews-Way-98303/home/3029022,NWMLS as Distributed by MLS Grid,2430685,N,Y,47.1645193,-122.6871028
MLS Listing,,Multi-Family (2-4 Unit),12008 12010 119th Ave E,Puyallup,WA,98374,765000,6,5.0,Puyallup,2772,8518,1999,78,276,,Active,,,https://www.redfin.com/WA/Puyallup/12010-119th-Ave-E-98374/home/2995641,NWMLS as Distributed by MLS Grid,2424350,N,Y,47.1467644,-122.2706344
MLS Listing,,Single Family Residential,8022 175th Street Ct E,Puyallup,WA,98375,590000,4,2.5,Puyallup,2680,4272,2017,79,220,41,Active,,,https://www.redfin.com/WA/Puyallup/8022-175th-Street-Ct-E-98375/home/112366517,NWMLS as Distributed by MLS Grid,2430258,N,Y,47.0967176,-122.3218015
MLS Listing,,Condo/Co-op,7143 Grandview Pl #3,Gig Harbor,WA,98335,695000,2,2.0,Gig Harbor,1329,,1952,80,523,375,Active,,,https://www.redfin.com/WA/Gig-Harbor/7143-Grandview-Pl-98335/unit-3/home/144679975,NWMLS as Distributed by MLS Grid,2424284,N,Y,47.3234159,-122.5772472
MLS Listing,,Single Family Residential,6914 86th St E,Puyallup,WA,98371,1150000,4,3.0,Puyallup,3052,20205,1994,86,377,,Active,,,https://www.redfin.com/WA/Puyallup/6914-86th-St-E-98371/home/2682677,NWMLS as Distributed by MLS Grid,2426871,N,Y,47.1786425,-122.3367508
MLS Listing,,Single Family Residential,506 Deeded Ln SW,Orting,WA,98360,399000,3,1.0,In Town,1011,7200,1975,94,395,,Active,,,https://www.redfin.com/WA/Orting/506-Deeded-Ln-SW-98360/home/2922817,NWMLS as Distributed by MLS Grid,2419745,N,Y,47.0938589,-122.2067109
